name,a,e,i
Halley,17.8341442925537,0.967142908462304,162.262690579161
Encke,2.215132359220456,.8483202380213735,11.78148670450943
Biela,3.53465808340135,0.751299,13.2164
Faye,3.83815915788662,.5696175496849397,9.070294510274881
Brorsen,3.10112826228681,0.809796,29.3821
d''Arrest,3.503683369339459,.6114219228700193,19.48168162749337
Pons-Winnecke,3.418928238115145,.6376170100495518,22.3350880629029
Tuttle,5.6998620708785754374048,0.8197997470243816309221,54.983184844602092766763
Tempel,3.145794166571019,.5096459803932888,10.4737498480644
Tempel,3.06705913518058,.536314468934178,12.02279038459647
Tempel-Swift-LINEAR,3.413801406877804,.54491240285974,13.55352223000043
Pons-Brooks,17.121223241407509618738,0.9548123941619716115170,74.176894232522556649200
Olbers,16.9067774347548,0.930297147462082,44.609885733805
Wolf,4.243956278511121,.3578201804200237,27.94258862198616
Finlay,3.486709717204069,.7204670323736734,6.803655945058429
Brooks,3.358221347550548,.5632234095202744,4.261187225367249
Holmes,3.620686838118346,.4328758383063912,19.11426464401879
Perrine-Mrkos,3.55954221481951,0.642580982439164,17.7589827722319
Borrelly,3.609665546424225,.6232892711821078,30.31307021679391
Westphal,15.6421524304176,0.919831188993609,40.8900610587027
Giacobini-Zinner,3.515549653876195,.7068178874382801,31.90810098618194
Kopff,3.459069124451216,.5442128948801156,4.723642250184644
Brorsen-Metcalf,17.069206834622299595594,0.9719522579248509597249,19.333940469818628571374
Schaumasse,4.087386324184539,.7048560442569244,11.73526908512343
Neujmin,3.08916688391109,0.566818596285863,10.6387130963875
Grigg-Skjellerup,3.04357142518842,.6330809626437546,22.35725108984419
Crommelin,9.235960944226864,.9189810923126022,28.96687278723059
Neujmin,6.912463565429146,.7759093253269371,14.19753347182582
Schwassmann-Wachmann,5.987986754134973,.04513579017702611,9.3942185209734
Reinmuth,3.774669127378041,.5013719709626223,8.124318040864555
Schwassmann-Wachmann,4.235551873356187,.1921113434917756,4.547429974619607
"Comas Sola",4.510068014450066,.5546485799036236,9.968516517217138
Daniel,4.030063617285276,.4623598055003007,22.3861446076708
Gale,4.9435893,0.760719,11.7281
Herschel-Rigollet,28.8435453,0.97405,64.207
Whipple,4.172033693626158,.2599027784892106,9.930210562653045
Forbes,3.429732882863664,.5406684743232386,8.955886495525586
Stephan-Oterma,11.30334151293269,.859356587237136,18.30133219874207
Oterma,7.25148931544269,0.245513956937926,1.94283105545965
Vaisala,4.939864962861835,.6316152020645802,11.49264281940788
Tuttle-Giacobini-Kresak,3.085003278874254,.6612506884287184,9.229131696230207
Neujmin,4.876460018192112,.5841747519155726,3.984591946246174
Wolf-Harrington,3.350102994696103,.5949096247356784,15.97248249331635
Reinmuth,3.6889069943262,.4283337284041179,5.900601267837073
Honda-Mrkos-Pajdusakova,3.025175757508482,.8239728768241841,4.248163257767544
Wirtanen,3.087646694227751,.659202561356482,11.75713931185802
Ashbrook-Jackson,4.127268301556216,.317164639822074,13.02987619844596
Johnson,3.646758010998423,.3665943503836605,13.65772985634476
Arend-Rigaux,3.55848594923676,.6008743221720044,19.07774972127546
Arend,4.088133046971167,.5298191651919552,19.16230981680282
Harrington,3.71446643000283,.542437041421476,5.424389279818731
Harrington,3.580672324457032,.5620663599153678,8.654956945930117
Harrington,3.71436788288775,.5424857920569471,5.424560663918967
Harrington-Abell,3.857849696139989,.5403891098664094,10.23159989032961
"Van Biesbroeck",5.40443958870054,.5510876641065872,6.611321492305181
"de Vico-Swift-NEAT",3.7904782930723568412645,0.4270474945217546114406,6.0671607093682196065742
Tempel-Tuttle,10.3383382297577,0.905552720972412,162.486575379434
Slaughter-Burnham,5.085994723884396,.5073072932202485,8.147233422215407
duToit-Neujmin-Delporte,3.452538989318305,.4992889286810742,2.848332280065132
duToit-Neujmin-Delporte,3.45215357827758,0.499040120360139,2.84481020036925
Jackson-Neujmin,4.08035723716121,0.661506727386572,13.4784074178521
Kearns-Kwee,4.4854153139264,.4748484223719422,9.341130573742531
Tsuchinshan,3.505780291945367,.5384297030693533,3.610696486634454
Shajn-Schaldach,3.681302036331112,.4266921436652285,6.007764953028679
Tsuchinshan,3.48822350233338,.5937353725606641,10.28764633535224
Wild,5.587749927389681,.6509190323024351,19.77997964011996
Swift-Gehrels,4.438474029980045,.6897325315715446,8.949907082161364
Gunn,3.585862444923333,.3194259017271064,10.38668330728524
"du Toit",6.002310457974542,.7877036766519541,18.70100625022897
Churyumov-Gerasimenko,3.464737502510219,.6405823233437267,7.043680712713979
Klemola,4.8955055208880651207437,0.6406870098523979040194,11.143745927377530335888
Taylor,3.881578098672018,.4144496714647936,22.04594102713173
Kojima,3.673496445990252,.4538077525760331,6.600100458032775
Clark,3.137153177883903,.4943779265287214,9.445340071997684
Denning-Fujikawa,4.336084232317145,.8191545266363583,9.169283869658974
Schwassmann-Wachmann,3.091964298794711,.6855746067288707,11.2369727281111
Schwassmann-Wachmann,3.0618412252795819128437,0.6932855208263886126474,11.396951947033860719216
Schwassmann-Wachmann,3.063468722115394,.6922258013072282,11.37915705677313
Schwassmann-Wachmann,3.06229329930756,0.6938774627627,11.4056211759106
Schwassmann-Wachmann,3.06335181161612,0.693412971192622,11.3895622899332
Schwassmann-Wachmann,3.06483261003617,0.693565806671118,11.3910638961291
Schwassmann-Wachmann,3.04420865724153,0.691538816676964,11.380265457103
Schwassmann-Wachmann,3.06430700077958,0.693543485158215,11.3910646244732
Schwassmann-Wachmann,3.07631556437795,0.694735674965028,11.3987127952321
Schwassmann-Wachmann,3.06835160960417,0.693940938277251,11.3943614399649
