    PK05S020  2029 02 13.0584  6.448210  0.195721  229.9063  161.1879    3.1359  20180124   7.5  4.0  P/2005 S2 (Skiff)                                        MPC 75706
    PK05SL6B  2026 01 26.7705  3.822263  0.462857   83.5627    1.3581   24.0529  20180124  12.0  2.0  P/2005 SB216 (LONEOS)                                    MPC 75706
    PK05T020  2020 04  9.1492  2.237995  0.417322   59.1264  260.1993    8.2917  20180124  14.5  4.0  P/2005 T2 (Christensen)                                  MPC 55717
    PK05T030  2026 10  2.4978  6.265234  0.171253    8.4655   27.9489    6.2438  20180124   9.0  4.0  P/2005 T3 (Read)                                         MPC 73461
    PK05T040  2005 10  2.2555  0.644096  0.931154   41.2872   25.3745  160.0659  20180124  15.0  4.0  P/2005 T4 (SWAN)                                         MPC 73461
    PK05T050  2025 06 20.8997  3.279727  0.550288  304.5291   57.0272   21.3356  20180124  11.0  4.0  P/2005 T5 (Broughton)                                    MPC 75706
    PK05W030  2021 09 21.3946  2.901879  0.542433  200.2519  210.2855   16.4174  20180124  12.0  4.0  P/2005 W3 (Kowalski)                                     MPC 56954
    PK05X54A  2021 01 28.8551  1.750137  0.710663   15.1560  143.7343   17.1282  20180124  14.0  4.0  P/2005 XA54 (LONEOS-Hill)                                MPC 75706
    PK05Y020  2020 10 23.0833  3.379849  0.466544  194.3439   94.5242   19.1096  20180124   9.0  4.0  P/2005 Y2 (McNaught)                                     MPC 75706
    PK06D010  2018 12 21.6542  1.894933  0.659484  119.4256  359.9706   17.3662  20180124  16.0  4.0  P/2006 D1 (Hill)                                         MPC 75707
    PK06F010  2018 03 14.7820  4.108258  0.120215  186.1338  124.7464   21.2809  20180124   8.0  4.0  P/2006 F1 (Kowalski)                                     MPC 75707
    PK06F040  2019 08  2.6401  2.334790  0.338035   31.0980  184.0397   12.3877  20180124  15.0  4.0  P/2006 F4 (Spacewatch)                                   MPC 56954
    PK06H010  2019 12  8.2970  2.414510  0.580674  309.4610    0.0673   12.8436  20180124  12.5  4.0  P/2006 H1 (McNaught)                                     MPC 58118
    PK06H30R  2028 10 21.7511  1.236781  0.841621  117.4915  309.7413   31.8806  20180124  11.0  4.0  P/2006 HR30 (Siding Spring)                              MPC 75707
    CK06K040  2007 11 24.2158  3.198084  0.996938  233.6454  116.6776  111.4239  20180124   6.0  4.0  C/2006 K4 (NEAT)                                         MPC 73914
    CK06O02F  2008 09 10.2229  2.457062  1.001797   95.8720  318.5202   30.1258  20180124   5.5  4.0  C/2006 OF2 (Broughton)                                   MPC 82313
    CK06Q010  2008 07  4.3599  2.770025  0.998870  344.4969  199.3231   59.1497  20180124   5.0  4.0  C/2006 Q1 (McNaught)                                     MPC 72849
